tNm, kCKa, kCuLa
308.0, 0.32743, 0.67427
309.0, 0.30484, 0.64751
310.0, 0.30250, 0.69444
311.0, 0.33455, 0.67138
312.0, 0.38415, 0.64824
313.0, 0.29675, 0.66933
314.0, 0.34122, 0.60014
315.0, 0.34542, 0.58966
316.0, 0.31746, 0.58887
317.0, 0.29561, 0.61764
318.0, 0.34388, 0.65216
319.0, 0.40262, 0.59420
320.0, 0.32851, 0.60440
321.0, 0.32589, 0.62678
322.0, 0.36150, 0.64858
323.0, 0.27414, 0.62228
324.0, 0.33652, 0.59274
325.0, 0.36069, 0.59522
326.0, 0.32819, 0.60764
327.0, 0.37737, 0.62472
328.0, 0.34901, 0.61494
329.0, 0.33709, 0.59948
330.0, 0.37480, 0.56963
331.0, 0.33321, 0.58725
332.0, 0.35030, 0.60492
333.0, 0.43150, 0.58915
334.0, 0.39407, 0.60110
335.0, 0.34809, 0.58475
336.0, 0.37138, 0.61864
337.0, 0.39549, 0.58860
338.0, 0.38930, 0.58743
339.0, 0.30237, 0.62791
340.0, 0.36876, 0.64164
341.0, 0.34417, 0.60423
342.0, 0.31910, 0.65058
343.0, 0.36886, 0.62406
344.0, 0.36393, 0.57990
345.0, 0.35250, 0.59951
346.0, 0.38409, 0.57208
347.0, 0.37853, 0.56381
348.0, 0.41942, 0.64341
349.0, 0.34710, 0.59451
350.0, 0.39119, 0.54110
351.0, 0.43945, 0.56703
352.0, 0.39032, 0.57404
353.0, 0.38365, 0.59286
354.0, 0.39496, 0.60707
355.0, 0.36629, 0.61876
356.0, 0.41104, 0.52759
357.0, 0.41671, 0.56179
358.0, 0.43658, 0.58093
359.0, 0.37896, 0.57258
360.0, 0.38612, 0.61416
361.0, 0.43990, 0.56156
362.0, 0.38864, 0.55682
363.0, 0.35673, 0.61306
364.0, 0.38217, 0.59285
365.0, 0.38726, 0.58739
366.0, 0.38192, 0.55491
367.0, 0.38972, 0.57290
368.0, 0.36640, 0.58067
369.0, 0.41336, 0.57386
370.0, 0.37659, 0.56801
371.0, 0.39208, 0.58510
372.0, 0.33544, 0.62243
373.0, 0.36549, 0.57162
374.0, 0.43452, 0.52327
375.0, 0.40255, 0.55789
376.0, 0.38797, 0.60640
377.0, 0.39721, 0.58891
378.0, 0.41344, 0.55549
379.0, 0.41635, 0.57833
380.0, 0.42178, 0.53348
381.0, 0.41429, 0.59464
382.0, 0.42036, 0.56184
383.0, 0.37453, 0.56249
384.0, 0.44581, 0.54933
385.0, 0.43547, 0.53797
386.0, 0.36707, 0.58241
387.0, 0.43491, 0.56865
388.0, 0.37761, 0.57257
389.0, 0.47829, 0.50562
390.0, 0.46400, 0.56638
391.0, 0.37742, 0.55435
392.0, 0.34127, 0.58787
393.0, 0.40197, 0.57737
394.0, 0.43090, 0.57221
395.0, 0.41442, 0.53885
396.0, 0.40223, 0.60225
397.0, 0.40834, 0.58990
398.0, 0.35876, 0.60304
399.0, 0.41606, 0.54314
400.0, 0.39469, 0.57465
401.0, 0.49202, 0.52168
402.0, 0.45661, 0.54789
403.0, 0.34085, 0.55269
404.0, 0.36469, 0.58209
405.0, 0.39962, 0.54063
406.0, 0.35227, 0.57678
407.0, 0.43833, 0.54543
408.0, 0.44082, 0.56080
409.0, 0.43465, 0.51626
410.0, 0.41286, 0.53003
411.0, 0.35325, 0.59636
412.0, 0.39811, 0.58817
413.0, 0.44122, 0.55050
414.0, 0.38608, 0.58763
415.0, 0.44946, 0.54019
416.0, 0.45876, 0.53908
417.0, 0.44935, 0.52217
418.0, 0.42085, 0.50095
419.0, 0.39226, 0.55980
420.0, 0.48144, 0.56580
421.0, 0.41188, 0.53768
422.0, 0.40613, 0.54421
423.0, 0.42674, 0.59932
424.0, 0.45570, 0.52455
425.0, 0.39439, 0.56644
426.0, 0.43516, 0.53583
427.0, 0.43805, 0.53044
428.0, 0.45734, 0.54271
429.0, 0.43531, 0.50804
430.0, 0.49769, 0.52622
431.0, 0.50832, 0.51608
432.0, 0.44635, 0.50768
433.0, 0.51821, 0.49106
434.0, 0.39138, 0.59043
435.0, 0.43684, 0.51300
436.0, 0.57541, 0.47772
437.0, 0.41283, 0.55935
438.0, 0.43742, 0.56702
439.0, 0.45463, 0.54112
440.0, 0.43672, 0.55092
441.0, 0.40890, 0.53091
442.0, 0.49542, 0.48692
443.0, 0.43470, 0.57673
444.0, 0.44323, 0.53752
445.0, 0.47418, 0.48168
446.0, 0.48540, 0.48751
447.0, 0.46660, 0.51174
448.0, 0.43583, 0.55018
449.0, 0.45275, 0.54079
450.0, 0.47911, 0.53574
451.0, 0.45470, 0.53802
452.0, 0.43012, 0.52880
453.0, 0.48685, 0.51946
454.0, 0.44886, 0.50771
455.0, 0.47322, 0.48084
456.0, 0.42709, 0.49423
457.0, 0.43481, 0.51706
458.0, 0.51249, 0.52293
459.0, 0.42160, 0.52141
460.0, 0.44506, 0.52598
461.0, 0.51893, 0.51426
462.0, 0.50078, 0.49091
463.0, 0.52079, 0.50594
464.0, 0.42540, 0.52682
465.0, 0.45167, 0.53699
466.0, 0.44617, 0.54182
467.0, 0.52219, 0.46950
468.0, 0.49316, 0.51019
469.0, 0.51826, 0.49135
470.0, 0.45711, 0.51223
471.0, 0.46490, 0.53162
472.0, 0.46629, 0.49250
473.0, 0.48690, 0.47334
474.0, 0.45629, 0.47013
475.0, 0.42861, 0.54254
476.0, 0.48118, 0.50586
477.0, 0.47449, 0.48652
478.0, 0.52768, 0.51550
479.0, 0.50334, 0.50001
480.0, 0.44652, 0.52040
481.0, 0.46033, 0.49196
482.0, 0.52808, 0.52255
483.0, 0.61691, 0.46419
484.0, 0.55804, 0.47847
485.0, 0.53447, 0.47402
486.0, 0.53731, 0.48886
487.0, 0.49060, 0.47949
488.0, 0.45237, 0.56547
489.0, 0.48112, 0.50747
490.0, 0.47813, 0.51390
491.0, 0.45938, 0.47556
492.0, 0.52305, 0.48140
493.0, 0.58389, 0.47366
494.0, 0.48650, 0.46312
495.0, 0.46970, 0.48585
496.0, 0.47603, 0.46677
497.0, 0.44632, 0.51741
498.0, 0.55305, 0.46966
499.0, 0.39639, 0.50977
500.0, 0.56486, 0.45578
