Idx,rhoz(mg/cm^2),G(O K-L3),E(O K-L3),G(Mg K-L3),E(Mg K-L3),G(Al K-L3),E(Al K-L3),G(Al K-M3),E(Al K-M3),G(P K-L3),E(P K-L3),G(P K-M3),E(P K-M3)
623,0.166011,0.0714277,0.0205411,0.025107,0.0154805,0.0154155,0.01054,0.0154155,0.0110047,0.00202499,0.00165171,0.00202499,0.00170381
624,0.166278,0.0697039,0.0200053,0.0242106,0.0149163,0.014736,0.0100693,0.014736,0.0105139,0.00179588,0.00146436,0.00179588,0.00151063
625,0.166544,0.0680011,0.0194776,0.0233306,0.0143629,0.0140718,0.00960961,0.0140718,0.0100346,0.00158053,0.00128834,0.00158053,0.00132912
626,0.16681,0.0663194,0.0189579,0.0224668,0.0138204,0.013423,0.00916092,0.013423,0.00956673,0.00137893,0.00112364,0.00137893,0.00115926
627,0.167077,0.0646588,0.0184463,0.0216193,0.0132888,0.0127894,0.00872322,0.0127894,0.00911027,0.00119108,0.000970251,0.00119108,0.00100106
628,0.167343,0.0630192,0.0179426,0.0207881,0.0127679,0.0121712,0.00829648,0.0121712,0.0086652,0.00101698,0.000828156,0.00101698,0.000854493
629,0.16761,0.0614006,0.0174468,0.0199732,0.0122579,0.0115683,0.0078807,0.0115683,0.00823151,0.000856622,0.000697346,0.000856622,0.00071956
630,0.167876,0.0598031,0.016959,0.0191746,0.0117587,0.0109807,0.00747585,0.0109807,0.00780918,0.000710017,0.000577811,0.000710017,0.000596247
631,0.168143,0.0582267,0.0164789,0.0183923,0.0112702,0.0104084,0.00708191,0.0104084,0.00739818,0.000577162,0.00046954,0.000577162,0.000484545
632,0.168409,0.0566713,0.0160067,0.0176263,0.0107924,0.00985145,0.00669886,0.00985145,0.00699851,0.000458055,0.000372522,0.000458055,0.000384445
633,0.168676,0.055137,0.0155422,0.0168766,0.0103254,0.0093098,0.00632668,0.0093098,0.00661014,0.000352699,0.000286745,0.000352699,0.000295938
634,0.168942,0.0536237,0.0150854,0.0161432,0.00986897,0.00878346,0.00596535,0.00878346,0.00623306,0.000261091,0.000212198,0.000261091,0.000219012
635,0.169209,0.0521315,0.0146363,0.015426,0.00942324,0.00827244,0.00561486,0.00827244,0.00586724,0.000183233,0.000148871,0.000183233,0.000153659
636,0.169475,0.0506604,0.0141949,0.0147252,0.00898814,0.00777673,0.00527518,0.00777673,0.00551268,0.000119124,9.67532e-05,0.000119124,9.987e-05
637,0.169742,0.0492103,0.013761,0.0140407,0.00856365,0.00729634,0.0049463,0.00729634,0.00516935,6.87647e-05,5.58327e-05,6.87647e-05,5.76342e-05
638,0.170008,0.0477812,0.0133347,0.0133724,0.00814974,0.00683126,0.00462819,0.00683126,0.00483723,3.21545e-05,2.60989e-05,3.21545e-05,2.69424e-05
639,0.170275,0.0463732,0.0129159,0.0127204,0.00774639,0.00638149,0.00432084,0.00638149,0.0045163,9.29357e-06,7.54088e-06,9.29357e-06,7.78497e-06
640,0.170541,0.0449863,0.0125046,0.0120848,0.00735357,0.00594704,0.00402422,0.00594704,0.00420656,1.81971e-07,1.47604e-07,1.81971e-07,1.52389e-07
641,0.170808,0.0436204,0.0121007,0.0114654,0.00697127,0.00552791,0.00373832,0.00552791,0.00390798,0,0,0,0
642,0.171074,0.0422756,0.0117042,0.0108623,0.00659945,0.00512409,0.00346312,0.00512409,0.00362053,0,0,0,0
643,0.17134,0.0409518,0.011315,0.0102755,0.0062381,0.00473558,0.00319859,0.00473558,0.00334422,0,0,0,0
644,0.171607,0.0396491,0.0109332,0.009705,0.00588718,0.00436239,0.00294473,0.00436239,0.00307901,0,0,0,0
645,0.171873,0.0383675,0.0105586,0.00915079,0.00554668,0.00400451,0.0027015,0.00400451,0.00282489,0,0,0,0
646,0.17214,0.0371069,0.0101913,0.00861288,0.00521658,0.00366195,0.0024689,0.00366195,0.00258184,0,0,0,0
647,0.172406,0.0358674,0.00983119,0.00809125,0.00489685,0.0033347,0.00224689,0.0033347,0.00234984,0,0,0,0
648,0.172673,0.0346489,0.00947823,0.00758592,0.00458746,0.00302277,0.00203547,0.00302277,0.00212888,0,0,0,0
649,0.172939,0.0334515,0.00913238,0.00709689,0.00428839,0.00272615,0.00183461,0.00272615,0.00191894,0,0,0,0
650,0.173206,0.0322751,0.00879362,0.00662414,0.00399962,0.00244484,0.0016443,0.00244484,0.00172,0,0,0,0
651,0.173472,0.0311198,0.0084619,0.00616769,0.00372113,0.00217885,0.00146451,0.00217885,0.00153204,0,0,0,0
652,0.173739,0.0299855,0.00813719,0.00572753,0.00345289,0.00192818,0.00129523,0.00192818,0.00135504,0,0,0,0
653,0.174005,0.0288723,0.00781944,0.00530367,0.00319488,0.00169282,0.00113644,0.00169282,0.001189,0,0,0,0
654,0.174272,0.0277802,0.00750862,0.00489609,0.00294707,0.00147277,0.000988109,0.00147277,0.00103388,0,0,0,0
655,0.174538,0.0267091,0.0072047,0.00450481,0.00270945,0.00126804,0.000850231,0.00126804,0.00088968,0,0,0,0
656,0.174805,0.0256591,0.00690762,0.00412983,0.00248198,0.00107862,0.000722784,0.00107862,0.000756371,0,0,0,0
657,0.175071,0.0246301,0.00661736,0.00377113,0.00226465,0.000904516,0.000605747,0.000904516,0.00063394,0,0,0,0
658,0.175338,0.0236222,0.00633388,0.00342873,0.00205743,0.000745727,0.000499102,0.000745727,0.000522368,0,0,0,0
659,0.175604,0.0226353,0.00605715,0.00310262,0.0018603,0.000602252,0.000402831,0.000602252,0.000421638,0,0,0,0
660,0.17587,0.0216695,0.00578711,0.0027928,0.00167324,0.000474092,0.000316915,0.000474092,0.000331734,0,0,0,0
661,0.176137,0.0207248,0.00552374,0.00249928,0.00149622,0.000361246,0.000241334,0.000361246,0.000252636,0,0,0,0
662,0.176403,0.0198011,0.00526701,0.00222205,0.00132922,0.000263715,0.00017607,0.000263715,0.000184328,0,0,0,0
663,0.17667,0.0188984,0.00501686,0.00196111,0.00117222,0.000181499,0.000121104,0.000181499,0.000126793,0,0,0,0
664,0.176936,0.0180169,0.00477328,0.00171646,0.00102519,0.000114596,7.64172e-05,0.000114596,8.00125e-05,0,0,0,0
665,0.177203,0.0171563,0.00453621,0.00148811,0.000888114,6.30087e-05,4.19909e-05,6.30087e-05,4.39696e-05,0,0,0,0
666,0.177469,0.0163169,0.00430563,0.00127605,0.000760964,2.67354e-05,1.78064e-05,2.67354e-05,1.86468e-05,0,0,0,0
667,0.177736,0.0154985,0.0040815,0.00108028,0.00064372,5.77661e-06,3.84501e-06,5.77661e-06,4.02676e-06,0,0,0,0
668,0.178002,0.0147011,0.00386378,0.00090081,0.000536358,0,0,0,0,0,0,0,0
